product_title,product_vendor,product_type,net_items_sold,gross_sales,discounts,returns,net_sales,taxes,total_sales
Asking For Trobils: The Big Box,Breaking Games,Game,6,103.54,-1.5,-13.54,88.5,2.06,90.56
Suddenly Drunk: Hardcore Expansion,Breaking Games,Game,9,114.54,-1.0,-26.68,86.86,3.57,90.43
Order of Invention,Breaking Games,Game,6,90.0,-3.0,0.0,87.0,2.77,89.77
Rise of Tribes: The Mesa Hex Tile (Base Game Required),Breaking Games,Game Accessory,12,90.87,-2.79,-6.99,81.09,4.17,85.26
Little Diablo Un-shut-up-able Toy,Breaking Games,Toy,2,79.98,0.0,0.0,79.98,4.8,84.78
The Stars Align,Breaking Games,Game,5,75.0,-1.5,0.0,73.5,4.43,77.93
Moonquake Escape,Breaking Games,Game,3,75.0,-2.51,0.0,72.49,3.83,76.32
Suddenly Drunk: Booster Pack,Breaking Games,Game,14,82.25,-0.5,-13.32,68.43,4.98,73.41
Stripes | Family-Friendly Pattern Recognition Card Games | 2-6 Players,Breaking Games,Game,7,70.0,-2.0,0.0,68.0,4.04,72.04
Suddenly Drunk: Sexy Expansion,Breaking Games,Game,7,94.53,-1.0,-26.67,66.86,3.57,70.43
Pairs: Wild West,Breaking Games,Game,7,62.0,0.0,0.0,62.0,3.73,65.73
Word Shuffle,Breaking Games,Game,10,150.0,-90.0,0.0,60.0,5.33,65.33
Asking For Trobils: Travelers Ship Package #2,Breaking Games,Game,6,69.03,-1.0,-9.03,59.0,2.99,61.99
Asking For Trobils: Bounty Hunter Ship Package #3,Breaking Games,Game,6,69.03,-1.0,-9.03,59.0,2.17,61.17
Asking For Trobils: Scoundrels Ship Package #1,Breaking Games,Game,6,69.04,-1.0,-9.04,59.0,2.17,61.17
Asking For Trobils: Companions,Breaking Games,Game,3,78.07,-2.0,-18.07,58.0,2.75,60.75
Asking For Trobils: Trobil Makers,Breaking Games,Game,3,78.07,-2.0,-18.07,58.0,2.75,60.75
POOP: The Game - Party Bundle,Breaking Games,Game,2,54.0,0.0,0.0,54.0,1.69,55.69
Someecards: The Game,Breaking Games,,2,50.0,0.0,0.0,50.0,3.9,53.9
Dolly's Bookworm,Breaking Games,,2,50.0,0.0,0.0,50.0,3.38,53.38
Mobscenity,Breaking Games,Game,5,50.0,0.0,0.0,50.0,3.38,53.38
Flick Wars: Super Epic Play Mat,Breaking Games,Game,1,50.0,0.0,0.0,50.0,3.0,53.0
Friendshipping! Postcards,Breaking Games,Gift,2,50.0,-2.5,0.0,47.5,3.01,50.51
Suddenly Drunk: Gross Expansion,Breaking Games,Game,5,74.54,-1.0,-26.68,46.86,1.15,48.01
Billionaire Banshee: Sexy Foil Pack,Breaking Games,Game,8,40.0,0.0,0.0,40.0,3.19,43.19
Real Life Holiday Bingo,Breaking Games,Game,4,40.0,-2.0,0.0,38.0,2.85,40.85
The Mandela Effect Game,Breaking Games,Game,4,50.0,-3.0,-10.0,37.0,3.3,40.3
Infinite Jonathans,Breaking Games,Game,2,40.0,-2.0,0.0,38.0,1.67,39.67
Sparkle*Kitty Quantum Pack,Breaking Games,Game,4,32.0,0.0,0.0,32.0,2.5,34.5
Match Plus,Breaking Games,Game,2,30.0,0.0,0.0,30.0,1.2,31.2
POOP: The Game - Over-Flowing Brown Bag Bundle,Breaking Games,Game,1,27.0,0.0,0.0,27.0,1.71,28.71
Re-Extinction,Breaking Games,Game,1,25.0,0.0,0.0,25.0,1.88,26.88
ADJitation,Breaking Games,Game,1,25.0,0.0,0.0,25.0,1.55,26.55
Sparkle*Kitty: Blank Words Pack Expansion,Breaking Games,Game,3,24.0,0.0,0.0,24.0,1.92,25.92
Sparkle*Kitty Adventure Pack Expansion,Breaking Games,Game,3,24.0,0.0,0.0,24.0,1.92,25.92
POOP: Kawaii Edition | Family Friendly Card Game | 2-5 Players,Breaking Games,Game,2,20.0,0.0,0.0,20.0,1.91,21.91
POOP: Public Restroom Edition | Family Friendly Card Game | 2-5 Players,Breaking Games,Game,2,20.0,0.0,0.0,20.0,1.91,21.91
Mobscenity: Dirty Word Deck,Breaking Games,Game,4,20.0,0.0,0.0,20.0,1.01,21.01
Spin The Dreidel,Breaking Games,Game,1,20.0,0.0,0.0,20.0,0.74,20.74
Keep Calm: Expansion One,Breaking Games,Game,2,20.0,-1.0,0.0,19.0,0.9,19.9
Sparkle*Kitty: Team Tokens Pack Expansion,Breaking Games,Game,3,15.0,0.0,0.0,15.0,1.2,16.2
Measurement Toolbox,Breaking Games,Game,1,10.0,0.0,0.0,10.0,0.7,10.7
Swear Jar,Breaking Games,Game,1,10.0,0.0,0.0,10.0,0.0,10.0
Sparkle*Kitty Princess Party Pack,Breaking Games,Game Accessory,1,7.99,0.0,0.0,7.99,0.6,8.59
Sparkle*Kitty Princess Palette Card,Breaking Games,Game,2,4.0,0.0,0.0,4.0,0.31,4.31
Replacement Parts - DNPR,Breaking Games,Game Accessory,20,0.0,0.0,0.0,0.0,0.0,0.0
